gene,SW48-48h-12b1_Read_Count,SW48-48h-12b2_Read_Count,SW48-48h-12b3_Read_Count,SW48-48h-C1_Read_Count,SW48-48h-C2_Read_Count,SW48-48h-C3_Read_Count
AK1,1236,1058,1023,1180,1243,1131
AK2,9908,8050,7724,9717,10480,8800
AK4,2012,1659,1505,1916,1957,1700
AK4P1,279,245,229,271,265,244
AKT1,18498,16509,15824,14329,15697,14347
AKT2,6862,6354,5547,5991,6452,5804
ALAD,1990,1686,1597,1384,1640,1357
ALAS1,5147,4520,4352,4283,4484,3745
ALAS2,0,0,0,0,0,0
ALB,3,0,0,0,0,0
ALCAM,4920,3771,3729,3526,3776,2987
ABCD1,293,252,280,298,279,263
ALDH1A1,94,123,61,206,195,189
ALDH2,6429,5827,5274,5723,5931,5320
ALDH3A1,1337,1102,987,1453,1703,1279
ALDH1B1,3073,2769,2461,3404,3513,2994
ALDH1A3,11,11,9,1,5,3
ALDH3B1,0,0,0,2,5,8
ALDH3B2,0,4,6,0,0,4
ALDH9A1,5020,4203,3839,4437,4932,4007
ALDH3A2,5522,4366,4452,4898,5279,4338
ABCD2,4,0,0,0,0,0
ALDOA,20938,18690,18137,27636,27159,26732
ALDOAP2,0,0,0,0,0,0
ALDOB,0,0,0,0,0,0
ALDOC,1396,1214,1297,1609,1443,1663
AKR1B1,7,2,2,0,3,0
AKR1B1P2,0,0,0,0,0,0
ALK,0,0,0,5,2,0
ALOX12,0,0,0,3,0,0
ALOX5,10,0,11,4,7,7
ALOX5AP,0,0,0,0,0,0
ALOX12B,285,243,248,230,237,254
ALOX12P1,0,0,0,0,0,0
ALOX12P2,0,0,0,0,0,0
ALOX15,0,8,0,0,0,0
ALOX15B,26,33,15,28,15,13
ALPI,0,0,0,0,0,0
ALPL,10,11,11,7,7,16
ALPP,4,0,4,0,0,2
ALPG,0,0,0,0,0,0
ALX3,0,0,0,0,0,0
AMBN,0,0,0,0,0,0
AMBP,3,0,4,0,0,0
AMD1,10842,8306,8037,7872,8239,6523
AMD1P2,2,0,0,0,0,0
AMELX,4,0,10,6,7,9
AMELY,0,0,0,0,0,0
AMFR,7198,6339,5945,5478,5838,5042
AMH,745,632,645,749,874,872
AMHR2,0,0,0,2,3,0
