gene,SW48-48h-12b1_Read_Count,SW48-48h-12b2_Read_Count,SW48-48h-12b3_Read_Count,SW48-48h-C1_Read_Count,SW48-48h-C2_Read_Count,SW48-48h-C3_Read_Count
TNFRSF4,3,4,12,0,0,4
TXK,157,145,101,276,323,235
TXN,15091,12269,11209,14027,14353,12289
TXNRD1,17747,14591,14105,16780,16746,13728
TYK2,4099,3735,3545,3769,4168,3832
TYMS,8990,7381,6736,8384,9075,7843
TYR,0,0,0,0,0,0
TYRL,0,0,0,0,0,0
TYRO3,5117,4557,4270,4139,4403,3906
TYRO3P,1,4,4,0,7,6
TYROBP,0,0,0,0,0,0
TYRP1,0,0,0,0,3,0
U2AF1,1800,1501,1427,1725,1717,1459
ZRSR2P1,8,4,5,16,10,5
UBA52,13230,12041,11079,10256,10497,10077
UBA52P1,0,0,0,0,0,0
UBA52P2,0,0,0,0,0,0
UBB,20064,17820,16584,18063,19917,17304
UBBP1,1,5,3,2,5,3
UBC,81325,72655,69552,66392,67057,62292
UBA1,19007,17075,16196,19032,20990,18417
UBA7,33,26,25,33,47,27
UBE2A,2940,2354,2073,2546,2608,2144
UBE2B,2517,2039,1969,1899,1861,1480
UBE2D1,1967,1522,1509,1663,1602,1364
UBE2D2,4977,4138,3700,4596,4821,3976
UBE2D3,15971,12524,11727,13551,14373,11576
UBE2E1,5550,4220,3943,4906,4966,3987
UBE2E2,0,0,0,0,0,0
UBE2G1,4071,3242,2879,3564,3649,2928
UBE2G2,7805,6340,6340,6445,6901,5914
UBE2H,12597,9937,9846,9410,10095,8510
UBE2I,8060,6864,6476,6726,7132,6125
UBE2L3,6336,4950,4470,5158,5422,4498
UBE2L4,5,3,5,3,1,5
UBE2N,3753,2970,2793,3878,3966,3383
UBE2V1,6863,5290,5214,4869,5350,4378
UBE2V2,3579,2750,2554,3151,3346,2599
UBE3A,9122,7205,6532,7169,7522,5806
UBE3AP2,0,0,0,0,0,0
SUMO1,5950,4592,4132,6004,6043,4851
UBP1,5647,4789,4617,6006,6482,5688
UBTF,8549,7329,6870,8071,8528,7483
UCHL1,0,0,0,0,0,0
UCHL3,1684,1312,1257,1492,1638,1257
UPK1B,2,0,6,4,7,0
UCN,58,61,61,33,49,38
UCP1,0,0,0,0,0,0
UCP2,947,887,842,1450,1573,1309
UCP3,51,61,28,78,101,96
UFD1,1992,1744,1658,1844,1961,1779
SLC35A2,1046,1040,886,1209,1218,1093
SCGB1A1,0,0,0,0,0,0
UGCG,2184,1977,1710,1625,1653,1472
UGDH,2523,2005,1915,2583,2512,2179
UGP2,1756,1239,1187,1550,1601,1336
UGT2B4,0,0,0,0,0,0
UGT2B7,0,0,0,0,0,0
UGT2B10,0,0,0,0,0,0
UGT2B15,0,0,0,0,0,0
UGT2B17,0,0,0,0,0,0
UGT8,2945,2513,2437,3250,3352,2737
UMOD,0,0,0,0,0,0
UCK2,5034,4345,3963,4722,5243,4389
UMPS,2031,1687,1585,2011,2310,1925
COL14A1,0,0,0,6,8,0
UNG,6033,5162,4347,5943,6244,5367
USP4,5595,4588,4269,5250,5458,4661
NR1H2,2047,1961,1845,1976,2000,1628
UPP1,2293,2080,2081,1887,1942,1636
UPK2,14,16,13,13,18,11
UPK3A,13,16,12,18,32,17
UQCRB,6688,5378,5013,4657,5122,4173
UQCRC1,10763,9763,9183,9705,10263,9429
UQCRC2,13636,11251,10454,10441,10516,9002
UQCRFS1,5195,4289,3929,4433,4828,3960
UQCRH,7607,6559,6253,6325,6757,6089
UROD,1401,1277,1189,1376,1541,1341
UROS,996,813,791,1157,1301,909
USF1,1807,1654,1497,1613,1662,1428
USF2,6167,5296,5271,4964,5405,4731
USP1,7735,5914,5138,7429,7840,6081
USH2A,0,2,0,0,0,7
CLRN1,0,0,0,0,0,0
UTRN,5607,4856,4343,5391,5730,4765
KDM6A,1761,1390,1495,1499,1513,1172
UTY,0,0,0,0,0,0
UVRAG,1773,1383,1316,1458,1467,1203
VARS1,7548,6799,6433,8218,9115,8133
VASP,7588,6461,6493,6424,6775,6007
VAV1,15,10,10,3,13,6
VAV2,4606,3794,3785,4039,4088,3697
VBP1,3226,2357,2422,2664,2770,2246
VCAM1,0,0,0,0,0,0
VCL,19924,17433,16698,15898,17039,14625
VCP,12494,10993,10218,12012,12906,10974
VDAC1,12078,9532,9075,10139,10761,9209
VDAC2,19792,15529,14409,14868,15153,12368
VDAC1P4,0,0,0,0,0,0
VDAC3,6086,4994,4634,5106,5442,4657
VDR,728,619,538,900,999,831
VEGFA,5895,4829,4678,5025,4882,4624
VEGFB,2693,2276,2461,2168,2173,2010
VEGFC,154,103,78,97,110,132
VGF,1282,1086,1316,972,1027,909
VHL,7965,6650,5987,6893,6933,5837
VIL1,41,47,46,38,35,42
EZR,33809,26979,26708,27468,28100,25228
VIM,145,174,162,130,154,139
VIP,0,5,0,0,0,0
VIPR1,454,402,407,466,488,420
VIPR2,0,0,0,0,0,0
VLDLR,0,0,0,0,0,0
BEST1,580,534,416,718,650,485
VPREB1,0,0,0,0,0,0
TRPV1,693,556,584,700,786,653
VRK1,2435,2124,1657,2413,2544,1904
VRK2,2899,2246,2140,2612,2744,2182
VSNL1,8531,6968,6468,6964,7044,6385
VTN,2,0,6,11,14,6
VWF,23,19,21,23,33,36
VWFP1,0,0,3,0,0,0
WARS1,16451,13908,13393,19117,19633,17185
WAS,87,74,58,54,87,60
ZAN,0,0,0,0,0,0
WIPF1,0,0,0,0,0,0
EIF4H,35157,29150,27245,28325,29473,25174
CLIP2,20719,18366,18439,11951,12706,11630
LAT2,37,65,47,31,62,52
CORO2A,2145,1923,1646,1873,1790,1733
WEE1,4183,3272,3231,3421,3679,2785
WFS1,2314,2178,2237,1904,2268,2116
NSD2,22309,18621,18002,17331,19035,16036
NELFA,4662,4054,3862,3422,3665,3319
WNT1,0,3,0,0,0,0
WNT2,0,0,0,0,0,0
WNT3,497,463,358,343,357,333
WNT5A,0,0,0,0,0,0
WNT6,0,0,0,0,0,0
WNT7A,0,0,0,0,0,0
WNT7B,706,600,560,639,625,637
WNT8A,3,0,0,0,0,0
WNT8B,0,0,0,0,0,0
WNT10B,424,332,298,475,523,438
WNT11,382,297,287,255,287,272
WNT2B,568,508,474,411,459,389
WNT9A,663,568,622,653,680,591
WNT9B,0,0,0,0,0,0
GET1,1684,1499,1366,1454,1406,1168
WRN,4636,3726,3417,3720,4199,3194
WT1,0,0,0,0,0,0
XBP1,3640,2727,2792,3432,3566,2972
XBP1P1,3,3,3,2,1,3
XDH,222,181,181,188,195,153
XG,0,0,0,0,0,0
XIST,34219,29508,30162,24626,28654,24462
XK,1489,1031,1027,1228,1157,875
XPA,718,465,477,562,527,457
XPC,5949,5055,4757,4140,4690,4093
XPNPEP1,3077,2524,2379,2956,3169,2651
XPNPEP2,0,0,0,0,0,0
XPO1,23428,18472,16770,23665,25376,20139
XRCC1,2650,2316,2146,2074,2268,2011
XRCC2,3851,3108,2769,3713,3839,3089
XRCC3,1745,1700,1422,2062,2443,2044
XRCC4,397,265,329,412,462,320
XRCC5,22198,17775,16368,22814,23845,20060
YES1,13814,10568,9552,10588,10853,8566
YES1P1,24,13,24,25,21,5
YY1,12754,10277,9949,9804,11027,8886
YWHAB,12240,10120,8939,15334,15901,13093
YWHAE,35746,28286,27044,30236,32256,27524
YWHAG,15028,12744,12226,14118,14280,11908
YWHAH,7384,6198,5894,5756,6391,5344
YWHAZ,73849,56403,56442,55462,58083,47893
ZAP70,17,6,14,2,0,8
SF1,18064,14810,14926,15720,17055,15094
ZFP36,5417,3967,4251,3303,3324,3101
ZFP37,0,0,0,0,0,0
ZBTB14,1759,1410,1372,1503,1664,1337
ZFPL1,909,865,868,684,773,731
ZFX,1480,1391,1127,1239,1474,1147
ZFY,0,0,0,0,0,0
ZIC1,0,0,0,0,0,0
ZIC2,2274,1724,1721,1550,1785,1537
ZIC3,0,0,0,0,0,0
ZNF2,499,434,480,536,498,422
ZNF3,4033,3312,3130,3271,3591,3057
ZNF711,0,0,0,0,0,0
ZNF7,1271,1017,967,1197,1252,1035
ZNF8,2736,2332,2396,2136,2233,1795
CNBP,20603,16660,15120,15304,16276,13433
ZNF10,0,0,7,5,0,5
ZNF12,4120,3236,2949,3370,3614,2818
ZNF14,0,0,0,0,0,0
ZNF708,1350,1043,935,1096,1097,865
ZNF16,925,732,691,659,770,621
ZNF17,523,422,467,452,536,424
ZNF18,849,640,677,690,736,699
ZNF19,93,112,102,120,161,124
ZNF20,529,511,436,463,589,455
ZNF182,1254,899,948,885,938,735
ZNF22,11,5,13,7,6,5
ZNF23,1076,935,873,825,912,733
ZNF24,10966,8766,8305,9080,9598,7401
ZNF26,649,502,517,622,696,558
ZNF28,0,0,0,0,0,0
ZSCAN20,703,509,558,604,633,600
ZNF32,1573,1284,1189,1461,1468,1357
ZNF33A,3761,3110,2846,2500,2841,2211
ZNF33B,3308,2621,2527,2223,2298,1868
ZNF35,684,598,501,565,715,575
ZKSCAN1,14354,11901,11866,12793,13230,10955
ZNF37A,4635,3759,3448,4134,4699,3304
ZSCAN21,1044,842,804,820,835,756
ZNF41,514,391,357,477,621,410
MZF1,538,526,521,532,506,470
ZNF43,0,0,0,0,0,0
ZNF45,1191,1108,928,1128,1284,1034
ZBTB25,3206,2768,2559,2823,2978,2314
ZNF56,101,104,91,66,89,84
ZNF66,123,128,98,142,215,123
ZNF726P1,0,0,0,0,0,0
ZNF69,702,631,565,796,916,729
ZNF70,450,342,312,509,527,420
ZNF74,2611,2322,2131,2094,2377,1840
ZNF75D,1585,1228,1171,1143,1302,1120
ZNF75A,207,181,165,250,248,177
ZNF75BP,0,0,0,0,0,0
ZNF76,1334,1214,1189,1605,1659,1627
ZNF79,367,307,280,427,448,364
ZNF80,11,0,2,2,4,2
ZNF84,2726,2247,1994,2454,2625,2045
ZNF221,6,7,6,5,3,4
ZNF85,5,0,0,0,0,0
ZNF90,0,0,0,0,0,0
ZNF91,1080,914,1019,862,1001,902
ZNF99,0,0,0,0,0,0
ZNF90P1,0,0,0,0,0,0
ZNF222,126,103,92,113,145,105
ZNF121,9260,7625,7150,6578,6653,5539
ZNF124,778,679,582,747,827,671
MKRN3,0,0,0,0,2,0
MKRN4P,0,0,0,0,0,0
MKRN5P,22,10,5,12,16,25
MKRN7P,0,0,0,0,0,0
ZNF131,3738,2942,2619,3174,3308,2608
ZNF132,0,2,0,5,0,4
ZNF133,2020,1831,1779,1796,1932,1781
ZNF134,0,0,0,0,0,0
ZNF135,0,0,0,0,0,0
ZNF136,636,474,435,462,435,344
ZNF137P,0,0,0,0,0,0
ZNF138,1908,1352,1391,1356,1484,1180
ZNF140,468,410,354,450,435,388
ZNF141,26,10,10,14,17,7
ZNF142,3548,3208,3104,3546,3879,3362
ZNF143,1100,907,866,840,793,762
PCGF2,4865,3877,3847,3296,3502,3292
ZBTB16,0,0,0,0,0,0
ZNF146,12577,9198,8461,9501,10082,8299
TRIM25,9021,7674,7276,8663,8668,7744
ZNF148,3758,2975,2658,2900,3247,2371
ZBTB17,1851,1714,1553,1532,1741,1572
ZNF154,4,5,8,0,0,0
ZNF155,3,4,0,8,4,0
ZNF157,0,0,0,0,0,0
VEZF1,5310,3917,3998,3777,4205,3396
ZNF165,1447,1073,1068,996,1022,861
TRIM26,2465,2216,2106,2671,2525,2334
ZNF174,946,813,871,868,934,811
ZNF175,391,328,292,318,309,293
ZNF177,74,47,62,87,50,70
RNF112,98,51,73,66,45,60
ZNF180,798,617,537,640,802,652
RNF113A,501,494,448,540,511,430
ZNF184,1966,1540,1454,1755,1707,1437
ZNF185,1891,1698,1572,1439,1656,1378
ZSCAN26,967,797,803,846,812,711
ZNF189,1145,1151,1033,1533,1534,1328
ZKSCAN8,7047,5861,5688,4789,5194,4187
ZSCAN9,908,772,758,708,790,644
ZNF195,2945,2382,2163,2666,2726,2183
ZMYM2,11589,8705,8562,7390,7773,6298
ZNF200,768,648,584,692,800,650
ZNF202,1081,835,810,909,1060,839
ZNF204P,3502,2655,2601,2460,2408,2032
ZNF205,1123,1041,1155,973,940,848
ZNF207,13211,10721,10646,11420,12008,9927
ZNF208,0,0,0,1,0,0
ZNF213,1251,1217,1127,1106,1202,1153
ZNF214,69,63,61,87,91,57
ZNF215,773,546,539,821,792,682
ZFAND5,11046,8843,8569,8874,9449,7702
ZNF217,6760,5329,4989,4887,4888,4299
ZNF223,0,0,0,4,4,0
ZNF224,2249,1829,1808,1678,1794,1468
ZNF225,181,133,137,139,176,139
ZNF226,1508,1211,1243,1092,1251,999
ZNF227,960,741,768,787,777,636
ZNF112,0,0,0,0,0,0
ZNF229,0,0,0,0,0,0
ZNF230,393,358,303,390,362,267
ZNF232,1111,1015,906,1160,1193,997
ZNF236,2777,2236,2264,2056,2241,2095
SLC30A1,2362,1986,1663,2726,2508,1934
SLC30A2,0,0,0,0,0,0
SLC30A3,0,0,0,0,0,0
SLC30A4,1287,1085,980,1136,1153,910
ZP2,0,0,0,0,0,0
ZP3,1580,1394,1311,1576,1572,1396
MAP3K12,1495,1239,1195,1363,1399,1398
ZXDA,680,518,573,462,510,394
ZYX,15513,13440,13936,11354,11703,11316
LUZP1,3436,3044,2833,3089,3249,2669
PRDM2,3095,2511,2447,2482,2702,2299
DNALI1,0,0,0,4,0,7
PTP4A1,8376,6854,6565,8343,8431,6403
LRP8,32647,27619,26837,28210,31593,27113
LAPTM5,4,0,4,3,2,0
BSND,4,3,0,0,4,4
CSDE1,49028,38329,37348,34490,36704,30617
EVI5,1231,1095,969,825,954,799
DAP3,6595,5751,4931,5654,5777,4644
NPHS2,0,0,0,0,0,0
BTG2,1274,1127,1047,1076,1123,974
PXDN,0,0,0,0,0,0
ALMS1,3875,3159,3112,3450,3995,3092
MOGS,3691,3197,3286,2760,3143,2822
RNF103,3106,2380,2358,1993,2179,1748
PAFAH1B1P1,0,0,2,1,0,0
TUBA1A,12359,11344,10051,10830,11790,10249
PAX8,454,360,309,336,334,357
IL1R2,6,4,0,5,6,4
MALL,13865,11349,11035,12432,13918,11930
CXCR4,37,16,50,28,57,30
FZD5,1750,1427,1368,1370,1568,1210
SCG2,1290,875,1013,1247,1370,1011
BRPF1,2440,2187,2098,2134,2288,1943
IFRD2,2819,2577,2331,3092,3318,2829
MAPKAPK3,4684,4048,3906,3961,4361,4008
SEMA3B,1201,1092,1182,972,1092,1020
SLMAP,8872,6731,6428,6747,7052,5736
MANF,2924,2232,2109,2802,2967,2673
USP7,11054,8676,8172,10216,10821,9429
RAB7A,14024,11041,10693,10460,10769,9466
KCNAB1,6,1,8,2,1,1
SLBP,7301,5733,5241,6439,7117,5742
ST8SIA4,0,0,0,0,0,0
REEP5,5888,4763,4267,5152,5096,4383
DEK,31800,24350,21793,21468,22870,17968
ALDH5A1,3237,2785,2542,2754,2949,2473
PRRC2A,31548,28188,26167,27969,30053,26885
BAG6,15749,13849,12905,13192,13789,12828
GPANK1,711,633,577,552,656,560
DDX39B,10391,9050,7640,10291,11018,8220
ABHD16A,2206,2074,1939,2087,2239,2083
SLC39A7,6896,6043,5747,6167,6570,5835
HSD17B8,603,428,434,592,595,553
OR2H2,0,0,0,0,0,0
NELFE,2864,2204,2065,2571,2646,2323
LST1,0,0,0,0,0,0
PLA2G7,0,0,0,0,0,0
TFEB,431,465,385,412,527,434
RNF217-AS1,0,0,0,0,0,0
EPM2A,524,384,440,276,310,279
AIMP2,774,717,619,997,1071,823
MAFK,7149,5959,6032,5107,5254,4727
FZD3,2573,2050,1963,2391,2617,2001
MTERF1,0,0,0,2,2,0
SEM1,3754,3216,2870,3376,3569,3016
TFPI2,0,0,0,0,0,0
ST7,2048,1714,1560,1702,1847,1502
ARHGEF5,5148,4623,4543,3789,4354,3757
ZNF212,2004,1628,1491,1585,1584,1388
TUSC3,3714,2868,2841,2969,3310,2653
UBXN8,726,510,540,598,661,458
KAT6A,8002,6944,6627,7070,7772,6468
PSCA,12,6,11,10,6,13
GLRA3,7,0,0,0,4,0
NR4A3,163,113,114,117,98,101
BRD3,5770,4856,4424,4132,4287,3802
NUP214,5199,4506,4618,4486,5119,4370
LHX3,15,39,22,16,11,19
STAM,3026,2331,2464,2503,2619,2090
MLLT10,6825,5595,5510,5052,5425,4445
CUBN,18,30,25,43,38,34
CCDC6,8203,6650,5984,6720,6908,5757
NCOA4,4779,3665,3435,3484,3728,3000
SLC25A16,1823,1387,1447,1463,1634,1263
SHOC2,2546,1939,1882,2163,2163,1655
ADAM12,0,0,0,0,0,0
RASSF7,1212,1137,1098,1261,1210,1156
CSRP3,0,0,0,0,0,0
PDHX,2121,1644,1493,1793,1956,1606
FOSL1,22063,17371,18362,16052,17154,15672
CUL5,4962,3927,3641,3801,3893,3069
PTP4A2,8515,6726,6623,7333,7513,6506
FGF23,0,0,0,0,0,0
MFAP5,0,2,0,0,0,0
USP5,5745,5038,4584,5648,5964,5298
MLF2,8669,7232,7048,9293,10007,8920
SSPN,2,0,0,5,0,0
KMT2D,11861,11128,11028,10186,11094,10176
AAAS,2984,2529,2344,2689,3118,2674
FXR1,9812,7532,7262,6796,7520,6119
YEATS4,2894,2225,1942,2173,2389,1929
HMGA2,12632,9323,9909,7805,8437,7186
ALX1,0,0,0,0,0,0
CDK2AP1,5895,4915,4380,5118,5387,4515
IFT88,1127,882,894,1163,1225,1006
PABPN1,11656,9260,9443,9237,10378,9239
DPF3,107,75,80,123,114,101
GPR68,10,0,0,2,9,4
TCL1A,0,0,0,0,0,0
AP3B2,0,0,4,0,0,0
PWAR5,0,0,0,0,0,0
ANP32A,12316,9650,8988,10858,11615,9326
ST8SIA2,0,0,0,0,0,0
NPRL3,2297,2289,2072,2388,2604,2391
GAN,3070,2383,2881,2244,2463,1999
SLC7A5,54244,48116,44375,44020,47131,41749
TAF15,16048,13983,12063,18230,18775,14815
RND2,502,413,379,404,452,433
COIL,1728,1495,1388,1483,1454,1189
AKAP1,3733,3382,3145,3328,3537,3156
SLC14A2,0,0,0,0,0,0
MADCAM1,5,4,10,0,11,5
SF3A2,6291,5373,5248,4597,4858,4498
ELL,1834,1727,1659,1568,1538,1424
ZNF239,0,0,0,0,0,0
SYMPK,4886,4275,4248,4783,5057,4726
MIA,36,20,76,23,58,48
CLPP,2620,2407,2393,2365,2638,2273
DPF1,231,220,178,220,239,235
MKKS,1894,1610,1383,2117,2145,1798
GDF5,7,11,24,11,8,5
NCOA3,3038,2451,2302,2408,2523,1994
NRIP1,569,483,452,531,598,483
CHAF1B,3094,2876,2531,3090,3273,2809
GATD3A,1523,1359,1291,1595,1717,1542
DGCR6,829,786,695,761,984,840
DVL1P1,0,0,0,0,0,2
LZTR1,3893,3560,3417,3325,3682,3333
CLTCL1,1310,1073,1070,962,1041,992
ESS2,1504,1323,1273,1164,1225,1043
SYN3,8,11,9,8,10,6
GTPBP6,1683,1538,1423,1357,1345,1284
PUDP,0,0,0,0,0,0
AKAP17A,958,819,768,848,882,730
PNPLA4,604,560,472,519,526,535
ZRSR2,562,420,438,353,406,299
USP11,7227,6415,6371,5547,6138,5481
USP9X,15041,12707,11730,12871,13839,11384
RBM10,4332,3779,3521,4157,4695,4111
KDM5C,20172,17953,17636,18012,19070,16927
SMC1A,17956,15436,13898,18464,20570,17122
HNRNPDP1,0,0,0,0,0,0
NAA10,2081,1875,1767,2038,2033,1884
F8A1,718,625,624,586,702,610
UBL4A,3735,3330,2999,3026,3305,2840
TMEM187,618,587,514,576,611,584
LAGE3,507,442,434,496,494,562
SLC10A3,805,721,744,811,884,850
TKTL1,0,4,0,0,0,0
KDM5D,0,0,0,0,0,0
USP9Y,0,0,0,0,0,0
EPX,0,0,0,0,0,0
ARID1A,4722,4225,4120,4347,5155,4428
H3-4,0,0,0,0,0,0
DYSF,4,0,19,0,0,0
COLQ,105,76,56,134,130,133
SERF1A,741,666,615,571,593,500
H4C9,27,8,18,11,9,6
TRRAP,18348,16485,16092,16268,17960,15701
PICALM,9121,7099,6887,7209,7088,5965
KLRC4,199,141,136,176,147,161
SNN,3248,2688,2613,2511,2622,2172
ACOX2,2,0,0,0,6,2
ACOX3,1155,1125,1027,955,937,904
AXIN1,7347,6401,6474,6581,6526,6060
AXIN2,36156,31708,28055,42715,46446,40076
BAP1,4598,4046,3864,4013,4242,4057
BRAP,1578,1415,1276,1473,1489,1228
CDC7,2859,2369,1995,2723,2806,2279
CDC45,2076,1798,1623,2696,2711,2473
EOMES,0,0,0,0,0,0
FZD1,3124,2644,2379,2587,2739,2307
FZD4,2629,2195,2107,2151,2163,1795
FZD6,3854,3118,2832,3021,3330,2607
FZD7,1860,1661,1504,1662,1720,1577
FZD8,65,54,52,108,95,82
FZD9,0,0,0,0,0,0
GABPAP,55,42,42,46,38,39
GFI1B,5,8,4,1,5,3
H2AC13,48,50,36,42,22,51
H2AC15,22,28,25,18,13,13
H2AC14,8,5,4,5,3,10
H2AC16,0,6,1,6,9,8
H2AC6,117,148,171,71,84,77
H2AC4,0,0,2,0,4,2
H2AC17,17,23,19,14,13,9
H2AC18,403,376,416,270,327,349
H2AC20,38,37,32,31,36,39
H2BC8,0,0,0,2,0,0
H2BC13,30,18,31,17,10,18
H2BC15,98,71,70,56,53,43
H2BC14,1,2,1,0,0,0
H2BC7,5,6,14,2,3,6
H2BC6,5,1,7,4,2,10
H2BC9,25,20,29,18,18,25
H2BC10,0,0,0,0,2,0
H2BC4,128,143,94,92,124,85
H2BC17,32,20,12,9,22,15
H2BC21,1141,960,1097,688,813,822
H3C1,7,3,2,9,8,6
H3C4,19,27,20,10,15,17
H3C3,0,0,0,2,2,0
H3C6,415,359,381,255,241,229
H3C11,0,0,2,0,0,0
H3C8,2,5,0,4,2,7
H3C12,9,6,3,2,4,6
H3C10,51,49,58,35,43,43
H3C2,5,2,5,5,10,7
H4C1,3,5,2,0,5,6
H4C4,2,2,3,3,2,4
H4C6,0,0,0,0,0,0
H4C12,29,21,21,28,31,22
H4C11,15,17,12,13,14,12
H4C3,2,0,2,3,2,4
H4C8,11,17,7,12,33,9
H4C2,0,2,5,2,2,0
H4C5,12,11,6,11,15,9
H4C13,0,0,0,0,0,0
H4C7,2,0,0,0,2,0
H4C14,9,9,15,19,21,12
HYAL3,324,316,313,368,398,345
IFIT1P1,4,6,5,10,19,5
MAD1L1,1954,1612,1602,1747,2020,1838
NME5,0,0,0,0,0,0
OR1A1,0,0,0,0,0,0
OR1D5,0,0,0,0,0,0
OR1E1,0,0,0,0,0,0
OR1E2,0,0,0,0,0,0
OR1E3,0,0,2,0,0,0
OR1G1,0,0,0,0,0,0
OR3A3,0,0,0,0,0,0
PIP5K1A,8318,6705,6277,6988,7483,6138
PIP5K1B,143,91,90,57,106,59
PIP4K2B,6860,5766,5344,5342,6022,4977
PLA2G6,1376,1320,1313,1234,1262,1160
PLA2G10,0,0,2,0,0,2
SLC25A11,1889,1679,1572,2062,2258,1988
SOX14,9,8,2,7,8,5
SPARCL1,0,0,0,0,0,0
SPOP,2261,1810,1693,1936,1892,1596
SRPX,0,0,0,0,0,0
TAGLN2,16915,14037,13231,14039,14571,12714
ULK1,4060,3655,3512,2984,3197,2969
UXT,1528,1214,1198,1235,1297,1166
RPS9P1,2,0,3,0,0,0
EEA1,1905,1376,1272,1778,1872,1531
BCAR3,3915,3178,3097,2713,2891,2366
ANXA9,17,24,18,29,16,25
STX7,2459,1904,1926,1795,1768,1571
CMAHP,5,8,5,17,16,0
BFSP2,0,0,0,0,0,0
SNHG3,2567,2084,2193,2124,2286,1944
BBOX1,0,0,0,0,0,0
LTBP4,6466,5969,6322,5048,5302,4803
ZNF282,3746,3294,3131,2524,2783,2381
STK24,7502,5869,5850,5666,6199,5146
NR0B2,0,0,0,2,0,0
UTF1,0,0,0,0,0,0
RECK,0,0,0,0,0,0
SOAT2,37,45,34,61,41,53
CAVIN2,109,125,113,158,177,135
RASAL1,890,742,656,831,933,816
RAD54L,2984,2536,2239,2739,2927,2487
NSMAF,5292,4452,4249,3951,4283,3464
NCK2,3610,3107,2892,2292,2458,2161
GNPAT,3970,3213,2884,3272,3538,2978
DYRK3,814,630,617,647,797,598
DYRK2,4250,3318,3198,3319,3537,2931
DUSP11,1598,1296,1106,1211,1269,999
DOC2B,56,48,57,29,21,23
DOC2A,165,164,149,182,200,233
DHX16,3992,3509,3212,3651,3867,3260
CUL4B,8408,6422,5885,6134,6471,5217
CUL4A,10373,8810,8048,8497,9173,7939
CUL3,6414,5224,4631,6021,6551,5117
CUL2,2741,2259,1985,2612,2724,2213
CUL1,7943,6887,6146,7616,8288,6904
ATRN,0,0,0,3,2,0
FOXN1,0,0,0,0,0,0
TTF2,3787,3131,3035,3975,4412,3548
TPST2,1482,1159,1094,1060,1170,990
TPST1,1266,978,947,1079,1045,961
KLF11,3357,2867,2560,2462,2375,2157
TEAD2,0,0,0,0,0,0
SUPT3H,888,735,728,719,746,647
SMARCA5,12089,9456,8450,10954,11141,8869
FKBP6,0,0,0,0,0,0
SORBS2,7,7,7,7,14,2
IRS4,0,0,0,0,0,0
OGT,59276,47641,48612,43306,48183,41611
CDC42BPA,11210,9331,8375,7949,8839,7002
GPR65,0,0,0,0,0,0
HIRIP3,1282,1113,1011,1385,1506,1334
RAE1,2785,2282,1988,2456,2643,2221
OFD1,2715,2209,2236,1914,1915,1637
SEMA7A,30,18,19,23,35,31
CILP,0,0,0,3,13,5
GALR3,8,7,11,10,11,5
GEMIN2,1017,853,824,1022,959,844
RPL3P1,0,1,1,0,1,0
RPL23AP3,1,0,0,0,0,1
RGS5,956,694,697,505,479,415
MAP4K3,2436,1920,1788,2155,2243,1729
PRSS12,965,826,761,751,945,687
PPM1D,1069,907,880,983,1011,780
PPFIBP2,942,767,773,747,803,675
PPFIBP1,22085,17466,17528,16794,18645,15203
PPFIA4,633,580,631,562,659,603
RANBP3,3557,3098,2900,3096,3286,2831
PPFIA2,0,0,0,0,0,0
PPFIA1,6690,5668,5445,5671,6196,5338
SLC43A1,2273,1955,1920,1936,2006,1806
PKP4,17767,14699,13612,16781,18385,15864
PIK3R3,1482,1180,1087,1440,1542,1342
PEX3,847,683,629,745,850,685
PARG,1701,1423,1417,1800,1872,1481
CNTNAP1,1683,1332,1387,1523,1656,1397
ENC1,1364,1127,1097,1050,1078,872
NIPSNAP1,9488,7931,7402,8830,9260,7893
NDST2,2496,2189,2200,2003,2017,1948
MMP23B,62,54,67,54,67,81
MMP23A,25,28,30,27,24,34
MBL1P,0,2,0,0,0,0
LIPF,0,0,0,0,0,0
KCNAB2,3422,3004,2807,3015,3200,2803
ITGA10,338,259,294,95,81,108
ITGA8,0,0,0,0,0,0
IKBKG,611,598,534,588,569,596
ELP1,5707,4643,4484,5348,5451,4702
IFITM1,70,48,41,77,82,70
HAT1,3440,2601,2462,3471,3841,3104
GCM1,0,0,0,0,0,0
GAS7,0,0,3,14,10,6
DGKZ,5610,5196,4938,5430,5789,5477
DGKE,3594,2989,2924,2780,2786,2223
DGKD,8633,7271,7424,6668,6726,6323
DDO,2,0,0,0,0,0
CYP4F2,0,0,4,0,0,3
CST7,0,0,0,0,0,0
YBX3,9433,7215,7618,6809,7229,5964
CPZ,0,0,0,0,0,0
COPS3,4180,3338,2991,4149,4349,3441
CHST1,2,0,0,0,0,0
CBX4,6387,5488,5305,4394,5147,4463
CAMK1,798,701,663,882,958,875
BCAS1,2,0,0,0,0,0
BARX2,12,7,11,13,10,18
API5,8561,6927,6483,9418,9624,7822
AGPS,4278,3238,3057,3975,4338,3329
PPFIA3,1243,1106,1062,1070,1215,1083
APOL1,8,8,6,3,0,3
LMO4,17945,14850,13035,16828,17796,15389
PIR,1605,1302,1230,1601,1602,1300
CGGBP1,4896,3910,3657,4168,4583,3370
AP3B1,4304,3370,3193,4083,4493,3552
FCN3,13,0,10,7,10,10
