gene,coef,abs_coef
RPL21P129,-0.010021658636650041,0.010021658636650041
LOC100287357,0.010021658636650041,0.010021658636650041
SAPCD2P1,-0.010021658636650041,0.010021658636650041
MAPK8IP1P2,-0.010021658636650041,0.010021658636650041
LOC729200,-0.010021658636650041,0.010021658636650041
USP17L18,-0.010021658636650041,0.010021658636650041
DYNLL1P2,0.010021658636650041,0.010021658636650041
RPL21P131,-0.010021658636650041,0.010021658636650041
RNU7-43P,0.010021658636650041,0.010021658636650041
RPS3AP53,0.010021658636650041,0.010021658636650041
SNAR-C4,0.010021658636650041,0.010021658636650041
SNAR-C3,0.010021658636650041,0.010021658636650041
OR7E12P,-0.010021658636650041,0.010021658636650041
PCMTD1P7,-0.010021658636650041,0.010021658636650041
MIR6827,0.010021658636648762,0.010021658636648762
LOC105374966,0.010021658636606109,0.010021658636606109
LOC105378198,0.010021658636606109,0.010021658636606109
OR4D1,-0.010021658636606109,0.010021658636606109
NCF2,0.009661028713607711,0.009661028713607711
IQCA1L,0.0096359356242885,0.0096359356242885
LOC107986131,-0.009375031812598616,0.009375031812598616
PYCR3,-0.009291710706869752,0.009291710706869752
LOC105375171,-0.00920658951453247,0.00920658951453247
DPCD,-0.009119406836694556,0.009119406836694556
TBC1D29P,-0.009083586327698501,0.009083586327698501
LOC100996643,0.009081026093896973,0.009081026093896973
TOMM40P4,0.009081026093896973,0.009081026093896973
LOC107984842,-0.00907076780920081,0.00907076780920081
PKNOX2,-0.008874299484025575,0.008874299484025575
GOLGA6L2,-0.008868636749007635,0.008868636749007635
CDIP1,0.008849501352997214,0.008849501352997214
LINGO1-AS1,0.008841641530527102,0.008841641530527102
FOXP3,-0.008800927213682974,0.008800927213682974
CDKL3,0.008749858619049759,0.008749858619049759
PRECSIT,-0.00862190562318391,0.00862190562318391
LOC105373429,-0.00858266142668374,0.00858266142668374
ZNF469,0.008442264274863642,0.008442264274863642
MIR181B2,0.008436045880700559,0.008436045880700559
LOC101928021,-0.008431059216897931,0.008431059216897931
ANKRD37,-0.008393207974470539,0.008393207974470539
LOC105377063,-0.008273326404397244,0.008273326404397244
RPS15AP19,0.008217601011387628,0.008217601011387628
DHRS2,-0.008200177453820918,0.008200177453820918
CCDC84-DT,-0.008155864389801516,0.008155864389801516
