지표,값,비고
LOOCV Accuracy,1.00,6개 샘플 모두 정확 분류
LOOCV ROC-AUC,1.00,완벽한 분리
대조군 정확도 (0),3/3,대조군 3개 모두 정확
처리군 정확도 (1),3/3,처리군 3개 모두 정확
"Confusion Matrix (0,0)",3,True Negative
"Confusion Matrix (0,1)",0,False Positive
"Confusion Matrix (1,0)",0,False Negative
"Confusion Matrix (1,1)",3,True Positive
